Date,Name,Year,Letterboxd URI,Rating
2017-02-27,Loving,2016,https://boxd.it/bhHC,3.5
2017-02-27,Hacksaw Ridge,2016,https://boxd.it/azew,3.5
2017-02-27,"Right Now, Wrong Then",2015,https://boxd.it/bWs4,4
2017-02-27,Doctor Strange,2016,https://boxd.it/8MH8,3
2017-02-27,Gimme Danger,2016,https://boxd.it/dJqS,4
2017-02-27,Jackie,2016,https://boxd.it/d6bu,3
2017-02-27,Perfect Sense,2011,https://boxd.it/A3O,3.5
2017-02-27,Toni Erdmann,2016,https://boxd.it/d0xu,3.5
2017-02-27,Sully,2016,https://boxd.it/cD8Q,3
2017-02-27,Train to Busan,2016,https://boxd.it/dSQU,3.5
2017-02-27,A Monster Calls,2016,https://boxd.it/7DjE,3
2017-02-27,The Birth of a Nation,2016,https://boxd.it/bhFQ,3.5
2017-02-27,The Fits,2015,https://boxd.it/cacO,3
2017-02-27,Nocturnal Animals,2016,https://boxd.it/bkFu,4
2017-02-27,Paterson,2016,https://boxd.it/cRk2,3.5
2017-02-27,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3
2017-02-27,He Never Died,2015,https://boxd.it/8yvW,3.5
2017-02-27,The Thin Red Line,1998,https://boxd.it/1ZTM,3
2017-02-27,"Good Morning, Vietnam",1987,https://boxd.it/29Aq,3
2017-02-27,Arrival,2016,https://boxd.it/aNGk,3.5
2017-02-27,Morgan,2016,https://boxd.it/d6Yw,3
2017-02-27,"I, Daniel Blake",2016,https://boxd.it/d0xa,3.5
2017-02-27,Ghost in the Shell,1995,https://boxd.it/1YYc,3.5
2017-02-27,The Boy and the Beast,2015,https://boxd.it/aaRe,4
2017-02-27,Lo and Behold: Reveries of the Connected World,2016,https://boxd.it/cfuo,3.5
2017-02-27,Coraline,2009,https://boxd.it/1NhQ,4
2017-02-27,Kubo and the Two Strings,2016,https://boxd.it/a4wE,4
2017-02-27,Captain Fantastic,2016,https://boxd.it/b2K2,3.5
2017-02-27,Swiss Army Man,2016,https://boxd.it/bDG2,3.5
2017-02-27,Star Trek Into Darkness,2013,https://boxd.it/uYE,3.5
2017-02-27,Rashomon,1950,https://boxd.it/2a9K,3.5
2017-02-27,The Man Who Knew Infinity,2015,https://boxd.it/bTpm,3
2017-02-27,Aquarius,2016,https://boxd.it/d6YQ,3
2017-02-27,Hell or High Water,2016,https://boxd.it/bfGM,4
2017-02-27,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2017-02-27,Trumbo,2015,https://boxd.it/9gG0,4
2017-02-27,All the President's Men,1976,https://boxd.it/29lU,3.5
2017-02-27,Finding Dory,2016,https://boxd.it/4aAA,3.5
2017-02-27,Children of Men,2006,https://boxd.it/1Y2i,4
2017-02-27,A Serious Man,2009,https://boxd.it/1RFW,3.5
2017-02-27,The Battered Bastards of Baseball,2014,https://boxd.it/7low,4
2017-02-27,10 Cloverfield Lane,2016,https://boxd.it/aZiu,4
2017-02-27,Maleficent,2014,https://boxd.it/3v1u,3
2017-02-27,Chronicle,2012,https://boxd.it/2Emk,4
2017-02-27,Bridge of Spies,2015,https://boxd.it/9n9C,3.5
2017-02-27,Room,2015,https://boxd.it/7T0y,4
2017-02-27,The Revenant,2015,https://boxd.it/8H5e,3
2017-02-27,The Big Short,2015,https://boxd.it/ajZw,4
2017-02-27,The Adjustment Bureau,2011,https://boxd.it/16T8,3.5
2017-02-27,World of Tomorrow,2015,https://boxd.it/9Gr6,3
2017-02-27,45 Years,2015,https://boxd.it/9ZPG,3
2017-02-27,Phoenix,2014,https://boxd.it/7u46,4
2017-02-27,Song of the Sea,2014,https://boxd.it/3Ic6,3
2017-02-27,Spotlight,2015,https://boxd.it/a84k,3.5
2017-02-27,Beasts of No Nation,2015,https://boxd.it/8Lp8,3.5
2017-02-27,The Assassin,2015,https://boxd.it/7rdE,3
2017-02-27,Mission: Impossible - Rogue Nation,2015,https://boxd.it/5rI4,3.5
2017-02-27,The Second Mother,2015,https://boxd.it/9Ydm,3
2017-02-27,Sicario,2015,https://boxd.it/8i7u,3
2017-02-27,Sunshine,2007,https://boxd.it/28Xy,4
2017-02-27,Charlie Wilson's War,2007,https://boxd.it/21yc,3
2017-02-27,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2017-02-27,Inherent Vice,2014,https://boxd.it/5hla,3
2017-02-27,Trainspotting,1996,https://boxd.it/29XY,3
2017-02-27,Inside Llewyn Davis,2013,https://boxd.it/34Ro,4
2017-02-27,The Big Lebowski,1998,https://boxd.it/2b6C,4
2017-02-27,28 Days Later,2002,https://boxd.it/2aXU,3.5
2017-02-27,Aliens,1986,https://boxd.it/29PA,4
2017-02-27,Waltz with Bashir,2008,https://boxd.it/1ZFA,4
2017-02-27,Alien,1979,https://boxd.it/2awY,4
2017-02-27,Selma,2014,https://boxd.it/8jak,3
2017-02-27,Mommy,2014,https://boxd.it/7Uau,5
2017-02-27,Fort Bliss,2014,https://boxd.it/7R6E,4
2017-02-27,Jurassic World,2015,https://boxd.it/4n0g,3
2017-02-27,Edge of Tomorrow,2014,https://boxd.it/4pD0,3.5
2017-02-27,The Visitor,2007,https://boxd.it/1RVq,3
2017-02-27,Before Sunrise,1995,https://boxd.it/2bcU,3.5
2017-02-27,A Most Wanted Man,2014,https://boxd.it/4WCE,3
2017-02-27,About Time,2013,https://boxd.it/43bI,3.5
2017-02-27,Ex Machina,2015,https://boxd.it/7T2k,3.5
2017-02-27,Mad Max 2,1981,https://boxd.it/1ZPg,4
2017-02-27,Mad Max,1979,https://boxd.it/1Y7i,3
2017-02-27,Paradise Now,2005,https://boxd.it/2bec,4
2017-02-27,"Two Days, One Night",2014,https://boxd.it/6A58,3.5
2017-02-27,Wild Tales,2014,https://boxd.it/7UmK,4
2017-02-27,Big Eyes,2014,https://boxd.it/36ms,3
2017-02-27,Blue Ruin,2013,https://boxd.it/5H8G,4
2017-02-27,Big Hero 6,2014,https://boxd.it/5rje,3
2017-02-27,The Help,2011,https://boxd.it/EDm,4
2017-02-27,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2017-02-27,Upstream Color,2013,https://boxd.it/4Cwc,3
2017-02-27,American Sniper,2014,https://boxd.it/5LDy,3.5
